fixture_id,season,date,competition,home_team,away_team,home_id,away_id,home_goals,away_goals,home_corners,home_yellow,home_red,home_fouls,home_shots,home_shots_ot,home_possession,home_passes,home_saves,away_corners,away_yellow,away_red,away_fouls,away_shots,away_shots_ot,away_possession,away_passes,away_saves
1153169,2024,2024-03-09,Liga BetPlay,Internacional de Bogota,Deportivo Cali,1134,1127,2,0,2,3,0,15,18,5,32.0,234,3,10,1,0,5,11,3,68.0,489,3
1153163,2024,2024-03-09,Liga BetPlay,Deportivo Pasto,Chico,1126,1132,2,1,8,2,0,10,9,6,50.0,341,4,3,0,0,7,17,4,50.0,347,4
1153167,2024,2024-03-09,Liga BetPlay,Santa Fe,Fortaleza FC,1139,1147,2,0,3,3,1,15,6,3,43.0,274,6,2,1,0,10,13,6,57.0,366,2
1153161,2024,2024-03-10,Liga BetPlay,Deportes Tolima,Independiente Medellin,1142,1128,2,2,5,2,0,15,17,5,57.0,539,2,2,3,0,13,8,3,43.0,407,3
1153162,2024,2024-03-10,Liga BetPlay,Once Caldas,Envigado,1136,1129,2,1,5,2,0,6,18,8,54.0,375,1,2,5,1,10,8,2,46.0,328,6
1153170,2024,2024-03-10,Liga BetPlay,Atletico Nacional,Bucaramanga,1137,1131,0,0,5,3,0,6,14,5,64.0,495,0,1,2,0,10,8,0,36.0,288,5
1153168,2024,2024-03-11,Liga BetPlay,Patriotas,Deportivo Pereira,1140,1462,0,2,6,2,0,5,11,3,65.0,279,1,2,1,0,8,6,3,35.0,153,3
1153164,2024,2024-03-11,Liga BetPlay,Jaguares,Millonarios,1133,1125,2,1,0,2,0,13,9,3,41.0,354,3,14,1,0,15,14,5,59.0,477,1
1153175,2024,2024-03-15,Liga BetPlay,Alianza Valledupar,Deportivo Pasto,1141,1126,1,1,4,4,0,7,14,3,50.0,365,6,3,4,0,12,15,7,50.0,382,2
1153174,2024,2024-03-16,Liga BetPlay,Junior,Jaguares,1135,1133,3,1,5,3,0,11,17,7,55.0,496,2,4,1,0,15,9,3,45.0,407,4
1153176,2024,2024-03-16,Liga BetPlay,Santa Fe,Deportes Tolima,1139,1142,1,1,11,2,0,5,20,8,45.0,338,2,6,1,0,6,9,4,55.0,425,7
1153172,2024,2024-03-16,Liga BetPlay,Bucaramanga,Internacional de Bogota,1131,1134,4,0,4,1,0,17,10,4,50.0,359,2,3,1,0,12,10,2,50.0,360,0
1153179,2024,2024-03-17,Liga BetPlay,Independiente Medellin,Once Caldas,1128,1136,1,2,5,1,1,7,17,7,57.0,480,1,4,1,0,13,8,3,43.0,362,6
1153180,2024,2024-03-17,Liga BetPlay,Envigado,Millonarios,1129,1125,1,1,3,6,0,14,12,5,48.0,400,1,2,1,0,12,16,2,52.0,419,4
1153171,2024,2024-03-17,Liga BetPlay,Deportivo Cali,Patriotas,1127,1140,0,1,5,1,1,11,11,5,64.0,451,2,3,3,0,14,11,3,36.0,260,5
1153177,2024,2024-03-17,Liga BetPlay,Chico,Atletico Nacional,1132,1137,2,1,5,2,1,8,13,5,45.0,275,1,4,4,0,15,6,1,55.0,348,3
1153173,2024,2024-03-18,Liga BetPlay,Deportivo Pereira,Águilas Doradas,1462,1144,2,1,3,2,0,12,6,4,49.0,395,1,1,5,0,21,6,2,51.0,406,2
1153178,2024,2024-03-18,Liga BetPlay,Fortaleza FC,America de Cali,1147,1138,0,0,6,2,0,13,10,3,55.0,397,4,2,1,1,9,9,4,45.0,345,3
1153188,2024,2024-03-22,Liga BetPlay,Patriotas,Junior,1140,1135,1,0,3,2,0,9,7,3,33.0,270,1,4,0,0,3,9,1,67.0,559,2
1153189,2024,2024-03-23,Liga BetPlay,Internacional de Bogota,Independiente Medellin,1134,1128,1,2,11,3,0,12,17,7,58.0,393,3,1,2,0,11,10,5,42.0,299,7
1153186,2024,2024-03-23,Liga BetPlay,Millonarios,Deportivo Cali,1125,1127,1,1,7,3,0,9,17,5,67.0,562,7,4,3,0,8,9,4,33.0,280,6
1153181,2024,2024-03-23,Liga BetPlay,Deportes Tolima,Deportivo Pereira,1142,1462,2,1,1,2,1,14,12,5,44.0,361,2,3,0,1,11,7,3,56.0,458,3
1153187,2024,2024-03-24,Liga BetPlay,America de Cali,Chico,1138,1132,3,2,5,4,1,9,11,4,64.0,402,2,2,3,0,13,14,4,36.0,229,1
1153183,2024,2024-03-24,Liga BetPlay,Bucaramanga,Envigado,1131,1129,3,1,3,1,0,10,9,3,45.0,319,2,1,5,1,11,13,3,55.0,394,0
1153190,2024,2024-03-24,Liga BetPlay,Atletico Nacional,Deportivo Pasto,1137,1126,1,0,5,5,0,11,12,5,48.0,397,2,4,2,0,15,8,2,52.0,433,4
1153184,2024,2024-03-24,Liga BetPlay,Jaguares,Fortaleza FC,1133,1147,0,1,2,4,0,15,13,1,55.0,417,1,7,5,1,13,11,2,45.0,348,1
1153185,2024,2024-03-25,Liga BetPlay,Águilas Doradas,Santa Fe,1144,1139,1,1,5,2,0,12,3,1,54.0,330,5,11,2,0,12,17,6,46.0,270,0
1153142,2024,2024-03-27,Liga BetPlay,Bucaramanga,Águilas Doradas,1131,1144,1,0,4,4,0,17,8,3,47.0,356,2,3,3,0,11,11,2,53.0,394,2
1153140,2024,2024-03-27,Liga BetPlay,Atletico Nacional,Jaguares,1137,1133,2,0,7,1,1,12,17,5,57.0,403,3,0,0,0,5,8,3,43.0,315,4
