home_wins_5,home_draws_5,home_losses_5,home_gf_5,home_ga_5,away_wins_5,away_draws_5,away_losses_5,away_gf_5,away_ga_5,home_home_wins,home_home_draws,home_home_losses,away_away_wins,away_away_draws,away_away_losses,h2h_home_ratio,h2h_draw_ratio,elo_diff,elo_home_expected,home_pts_per_game,away_pts_per_game,result
0,1,2,1,4,0,2,1,1,4,0,0,1,0,1,0,0.45,0.27,-3.23,0.6358,0.3333,0.6667,1
1,1,1,3,4,1,0,2,3,5,1,0,1,0,0,1,0.45,0.27,9.44,0.6525,1.3333,1.0,0
1,0,2,2,5,2,1,0,6,3,1,0,0,0,1,0,0.45,0.27,-52.26,0.5683,1.0,2.3333,1
1,1,1,6,7,2,0,1,6,2,0,1,0,1,0,1,0.45,0.27,-24.0,0.6077,1.3333,2.0,0
0,1,2,4,6,0,0,3,0,5,0,1,1,0,0,1,0.45,0.27,31.23,0.6804,0.3333,0.0,0
1,0,3,7,12,3,1,0,7,2,1,0,1,1,1,0,0.45,0.27,-98.83,0.5017,0.75,2.5,2
2,0,2,6,6,0,0,3,3,11,1,0,0,1,1,1,0.45,0.27,99.88,0.7596,1.5,0.0,1
0,2,1,3,5,1,1,1,2,4,0,1,0,0,0,1,0.45,0.27,-7.5,0.6301,0.6667,1.3333,2
2,0,1,4,4,1,1,1,3,4,1,0,0,0,1,0,0.45,0.27,20.82,0.6672,2.0,1.3333,1
3,0,1,14,6,0,1,3,5,13,2,0,0,0,0,2,0.45,0.27,109.48,0.7696,2.25,0.25,0
3,2,0,15,7,2,3,0,7,4,2,0,0,1,1,0,0.45,0.27,31.94,0.6813,2.2,1.8,2
2,0,3,5,7,3,1,1,9,4,2,0,0,1,1,0,0.45,0.27,-59.91,0.5574,1.2,2.0,2
0,2,2,3,8,2,1,1,7,6,0,1,1,0,1,0,0.45,0.27,-57.15,0.5614,0.5,1.75,1
2,2,0,7,4,1,1,2,4,7,2,0,0,1,0,1,0.45,0.27,63.93,0.7198,2.0,1.0,0
3,1,0,11,4,0,3,1,4,9,1,1,0,0,1,1,0.45,0.27,84.66,0.7433,2.5,0.75,0
2,2,0,8,5,3,0,1,7,5,1,1,0,1,0,1,0.45,0.27,10.4,0.6537,2.0,2.25,0
2,0,2,9,7,3,0,1,10,6,1,0,1,2,0,0,0.45,0.27,-44.33,0.5794,1.5,2.25,2
0,2,2,8,12,3,0,1,13,4,0,0,2,1,0,1,0.45,0.27,-108.67,0.4875,0.5,2.25,2
0,2,2,7,12,0,1,3,3,12,0,2,0,0,0,2,0.45,0.27,32.47,0.6819,0.5,0.25,0
1,0,3,6,9,0,1,3,3,7,1,0,1,0,1,1,0.45,0.27,11.16,0.6547,0.75,0.25,0
1,2,2,6,8,1,3,1,7,7,0,2,1,0,1,1,0.45,0.27,-15.93,0.6187,1.0,1.2,0
3,1,1,7,6,0,2,3,3,10,1,1,0,0,1,1,0.45,0.27,103.28,0.7632,2.0,0.4,0
4,1,0,11,4,1,2,2,4,5,2,0,0,1,1,1,0.45,0.27,86.23,0.745,2.6,1.0,0
2,0,3,7,8,1,0,3,6,8,0,0,2,0,0,1,0.45,0.27,23.66,0.6708,1.2,0.75,1
4,1,0,13,4,1,1,3,4,7,2,0,0,1,1,0,0.45,0.27,120.55,0.7807,2.6,0.8,0
0,1,4,5,11,3,0,2,7,4,0,0,3,1,0,1,0.45,0.27,-102.66,0.4962,0.2,1.8,1
2,1,2,6,7,2,1,2,5,10,1,0,1,1,1,1,0.45,0.27,13.54,0.6578,1.4,1.4,1
0,0,4,2,10,1,0,4,5,11,0,0,1,1,0,2,0.45,0.27,-7.97,0.6294,0.0,0.6,1
5,0,0,14,3,2,1,2,7,7,2,0,0,1,0,2,0.45,0.27,108.4,0.7685,3.0,1.4,0
1,3,1,8,6,0,1,4,2,9,0,3,0,0,1,1,0.45,0.27,78.65,0.7366,1.2,0.2,2
0,1,3,4,12,2,0,3,6,10,0,0,3,0,0,2,0.45,0.27,-44.66,0.579,0.25,1.2,2
3,0,1,9,7,2,1,1,4,4,1,0,0,1,0,1,0.45,0.27,42.56,0.6944,2.25,1.75,0
1,0,3,5,9,3,1,0,9,2,1,0,1,2,0,0,0.45,0.27,-107.14,0.4897,0.75,2.5,0
1,0,3,4,7,1,1,2,3,6,0,0,1,0,0,2,0.45,0.27,-1.58,0.638,0.75,1.0,1
3,1,0,13,5,1,1,2,8,9,2,0,0,0,1,1,0.45,0.27,79.05,0.737,2.5,1.0,0
1,3,0,4,3,2,0,2,5,10,1,1,0,1,0,1,0.45,0.27,35.15,0.6852,1.5,1.5,1
2,2,1,7,9,2,1,2,6,8,0,2,0,0,0,2,0.45,0.27,23.95,0.6712,1.6,1.4,2
1,3,1,8,6,0,1,4,4,10,1,0,1,0,1,1,0.45,0.27,92.45,0.7517,1.2,0.2,0
0,1,4,4,11,1,3,1,5,6,0,1,1,1,1,1,0.45,0.27,-59.88,0.5575,0.2,1.2,0
1,2,2,9,9,1,4,0,10,6,0,1,1,0,2,0,0.45,0.27,-24.84,0.6065,1.0,1.4,1
2,2,1,10,6,2,3,0,7,4,1,1,1,0,2,0,0.45,0.27,-1.33,0.6383,1.6,1.8,0
1,3,1,8,7,2,1,2,5,7,1,2,0,0,0,2,0.45,0.27,8.52,0.6513,1.2,1.4,0
3,0,2,6,8,2,0,3,8,10,1,0,1,1,0,1,0.45,0.27,49.53,0.7028,1.8,1.2,1
0,2,3,1,4,1,0,4,9,16,0,2,0,0,0,2,0.45,0.27,31.1,0.6802,0.4,0.6,0
2,1,2,5,10,2,1,2,5,7,1,1,0,0,0,2,0.45,0.27,8.29,0.651,1.4,1.4,1
2,1,1,10,4,5,0,0,10,3,1,0,0,3,0,0,0.45,0.27,-55.75,0.5633,1.75,3.0,0
4,1,0,9,4,4,1,0,13,5,2,1,0,2,1,0,0.45,0.27,-25.66,0.6054,2.6,2.6,1
4,0,1,15,7,0,3,2,4,8,2,0,1,0,1,1,0.45,0.27,109.06,0.7691,2.4,0.6,0
1,2,2,5,5,3,0,2,11,10,1,1,1,1,0,2,0.45,0.27,-45.12,0.5783,1.0,1.8,2
4,1,0,12,4,3,1,1,10,7,2,0,0,2,1,0,0.45,0.27,44.72,0.697,2.6,2.0,0
0,1,4,5,9,2,0,3,8,7,0,1,2,0,0,2,0.45,0.27,-47.86,0.5745,0.2,1.2,2
0,0,4,0,12,4,0,0,13,1,0,0,2,1,0,0,0.45,0.27,-168.03,0.4033,0.0,3.0,2
2,0,2,8,5,0,2,2,1,4,1,0,0,0,1,1,0.45,0.27,64.07,0.72,1.5,0.5,0
0,3,1,1,4,2,1,1,9,9,0,1,1,1,0,1,0.45,0.27,-53.26,0.5669,0.75,1.75,2
1,2,1,3,4,2,1,1,8,5,1,0,1,1,1,0,0.45,0.27,-30.01,0.5994,1.25,1.75,1
2,1,1,5,4,1,1,2,11,6,1,1,0,0,0,1,0.45,0.27,39.77,0.691,1.75,1.0,1
2,2,1,7,7,2,1,2,9,7,2,0,0,1,1,1,0.45,0.27,-2.89,0.6362,1.6,1.4,2
1,1,3,6,8,0,2,3,7,11,1,0,2,0,1,1,0.45,0.27,49.11,0.7023,0.8,0.3333,0
1,1,3,6,9,5,0,0,16,6,0,1,1,2,1,0,0.45,0.27,-108.12,0.4883,0.8333,2.6667,1
3,1,1,11,6,3,2,0,8,4,1,1,0,0,2,0,0.45,0.27,-0.31,0.6396,2.0,2.2,0
4,1,0,11,2,2,0,3,8,11,2,0,1,0,0,3,0.45,0.27,87.91,0.7468,2.1667,1.1667,1
2,1,2,8,9,5,0,0,15,6,1,0,2,2,1,0,0.45,0.27,-106.29,0.4909,1.1667,2.6667,2
4,0,1,9,6,1,1,3,1,3,2,0,0,0,0,3,0.45,0.27,100.56,0.7603,2.5,0.8333,0
